student_id,student_name,fathers_name,attendance_rate,weekly_study_hours,previous_semester_score,sleep_hours_per_night,extracurricular_activities,parental_education_level,internet_access_at_home,distance_from_school,part_time_job,learning_disability,final_score,passed
1,Sofia Harris,Henry Harris,89.92966361913756,32,89.80905897987509,4.0,0,1,1,0,0,0,72.31,1
2,Mia Hill,Amelia Hill,,4,96.89509226740475,5.0,1,0,0,0,0,0,64.51,1
3,Ava Gupta,Mason Gupta,92.84369680375471,33,58.276141346451425,9.0,0,0,1,1,1,0,71.98,1
4,Sofia Thomas,Isha Thomas,55.88219940796626,39,55.87094823933029,,0,1,1,0,1,0,49.09,0
5,Mason Rodriguez,Benjamin Rodriguez,86.98651660427703,10,56.79355913478561,8.0,1,2,1,2,0,0,76.27,1
6,Arjun Martin,Sebastian Martin,65.98334162202724,2,56.66314524105063,10.0,0,0,1,2,1,0,34.57,0
7,Daniel Scott,Ava Scott,99.42079947060382,32,42.15581093115838,7.0,0,1,1,2,1,0,86.12,1
8,Evelyn Johnson,Lucas Johnson,74.26794915799435,10,95.61498077986649,9.0,1,1,1,2,0,0,68.98,1
9,Harper Smith,Aarav Smith,56.12169491794705,15,52.821888494219706,7.0,0,2,1,2,1,0,51.95,0
10,Evelyn Flores,Ava Flores,86.25927740136953,17,65.2002444448843,10.0,1,0,1,0,0,0,65.08,1
11,Ethan King,Emily King,66.1505599193107,29,40.58121296445806,4.0,1,1,1,0,0,0,41.93,0
12,Liam Gupta,Jacob Gupta,99.85390785408308,9,91.47730545490343,9.0,0,2,1,2,1,0,75.4,1
13,Mila Martinez,Henry Martinez,98.9891228927261,17,83.86944066729504,6.0,0,1,1,2,1,0,73.84,1
14,Harper Flores,Olivia Flores,82.80670090102903,37,96.8053621104222,5.0,0,0,1,0,0,0,80.48,1
15,Riya Thompson,Harper Thompson,56.49132244758588,18,86.89692875178395,5.0,1,2,1,1,0,0,44.58,0
16,Sebastian White,Michael White,84.34304988375146,35,58.82239072312392,9.0,1,1,1,0,0,0,65.97,1
17,Benjamin Lopez,Aarav Lopez,54.65152432300136,12,54.87240152370542,10.0,1,2,1,0,1,0,33.05,0
18,Riaan Johnson,Logan Johnson,51.46820795511962,2,81.86297845319757,4.0,0,0,1,0,0,0,29.49,0
19,Avery Jones,Aria Jones,91.1479223110743,9,61.84676650062997,5.0,0,2,1,0,1,0,49.69,0
20,Lucas Miller,Sophia Miller,,37,73.972900945157,4.0,1,0,1,0,1,0,50.85,0
21,Sofia Anderson,Ethan Anderson,68.95135631095488,0,40.37544826158821,8.0,0,1,1,1,0,0,51.7,0
22,Aditya Lee,Charlotte Lee,98.67286949880867,26,43.71314210082851,7.0,0,0,1,2,0,0,85.16,1
23,Oliver Miller,Ananya Miller,66.84202509305516,7,72.12207647089907,10.0,1,1,0,2,0,0,52.23,0
24,Logan Smith,Logan Smith,64.82448906416576,16,73.96429878688991,6.0,1,1,1,1,0,0,56.22,0
